idValida,estado,oficina,area,fechaSolicitud,tipoGasto,concepto,montoGasto,fechaCarga,usuarioCargo,validacion,obseValidacion,fechaValidacion,usuarioValidacion,comprobacion,fechaComprobacion,usuarioComprobo,statusValida,Freq,idValidaD,fechaDeposito,montoDeposito,fechaCargaD,usuarioCargoD
144982,TLAXCALA,TLAXCALA,Juridico Proyecto Actual,27/03/2018,NO COMPROBABLE FISCALMENTE,Pago mensualidades infonavit,1557,27/03/2018,GtoTlo2015,ACEPTADO,PAGADO,26/04/2019,Gadmin14,SI,16/05/2019,OPER071604,COMPROBADO,1,144982,26/04/2019,1557,26/04/2019,Gadmin14
144984,TLAXCALA,TLAXCALA,Juridico Proyecto Actual,27/03/2018,NO COMPROBABLE FISCALMENTE,Pago mensualidades infonavit,3512,27/03/2018,GtoTlo2015,ACEPTADO,PAGADO,26/04/2019,Gadmin14,SI,06/05/2019,GF20160401,COMPROBADO,1,144984,26/04/2019,3512,26/04/2019,Gadmin14
144986,TLAXCALA,TLAXCALA,Juridico Proyecto Actual,27/03/2018,NO COMPROBABLE FISCALMENTE,Pago mensualidades infonavit,1475,27/03/2018,GtoTlo2015,ACEPTADO,PAGADO,26/04/2019,Gadmin14,SI,06/05/2019,GF20160401,COMPROBADO,1,144986,26/04/2019,1475,26/04/2019,Gadmin14
172771,SONORA,Hermosillo,Juridico Proyecto Actual,06/12/2018,REEMBOLSABLE,AVALUO EN REBELDIA,5220,06/12/2018,GtosSon2015,ACEPTADO,PAGADO,17/01/2019,Gadmin14,SI,21/01/2019,GF20160401,COMPROBADO,1,172771,17/01/2019,5220,17/01/2019,Gadmin14
172895,TAMAULIPAS,Tampico,Juridico Proyecto Actual,07/12/2018,NO COMPROBABLE FISCALMENTE,Pago mensualidades infonavit,2584,07/12/2018,GtoTam2015,ACEPTADO,PAGADO,16/01/2019,Gadmin14,SI,18/01/2019,OPER071604,COMPROBADO,1,172895,16/01/2019,2584,16/01/2019,Gadmin14
173095,NAYARIT,Tepic,Juridico Proyecto Actual,12/12/2018,REEMBOLSABLE,AVALUO ACTORA,1500,12/12/2018,GtoNay2015,ACEPTADO,PAGADO,09/01/2019,Gadmin14,SI,10/01/2019,GF20160401,COMPROBADO,1,173095,08/01/2019,1500,09/01/2019,Gadmin14
173135,TLAXCALA,Tlaxcala,Juridico Proyecto Actual,12/12/2018,REEMBOLSABLE,COPIA DE ESCRITURA,1215,12/12/2018,GtoTlo2015,ACEPTADO,PAGADO,09/01/2019,Gadmin14,SI,21/01/2019,OPER071604,COMPROBADO,1,173135,08/01/2019,1215,09/01/2019,Gadmin14
173295,NAYARIT,Tepic,Juridico Proyecto Actual,13/12/2018,REEMBOLSABLE,CLG PARA REMATE,225,13/12/2018,GtoNay2015,ACEPTADO,PAGADO,09/01/2019,Gadmin14,SI,10/01/2019,GF20160401,COMPROBADO,1,173295,08/01/2019,224.96,09/01/2019,Gadmin14
173378,COLIMA,Colima,Juridico Proyecto Actual,14/12/2018,COMPROBABLE FISCALMENTE,CLG PARA DEMANDA,420,14/12/2018,GtoCol2015,ACEPTADO,PAGADO,09/01/2019,Gadmin14,SI,11/01/2019,OPER071604,COMPROBADO,1,173378,09/01/2019,420,09/01/2019,Gadmin14
173382,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173382,21/01/2019,3828,31/01/2019,Gadmin14
